Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_UPI002247B8DC,29,19,49
UniRef100_UPI00077A2219,30,19,49
16248|Ga0233409_10415046_1|+2|11,30,28,49
UniRef100_A0A8J4BVF3,29,21,49
UniRef100_A0A8J5N0G9,29,25,49
W4ZF19,30,24,49
A0A0G4G8C8,30,21,49
UniRef100_A0A5F8HDN8,30,25,49
UniRef100_A0A183MLP2,29,22,49
A0A1J4J825,30,25,49
UniRef100_UPI001E1C646B,29,24,49
UniRef100_A0A0N4ZQW6,29,20,49
MGYP001496530615,29,22,49
ERR1712127_1032819,30,20,49
APFre7841882654_1041346.scaffolds.fasta_scaffold739470_1,30,23,49
ERR1719461_1800809,29,20,49
ERR1711971_591744,30,21,49
MGYP001045965344,29,25,49
UniRef100_A0A7I8V9L4,29,20,49
UniRef100_A0A0V0S3M5,30,24,49
UniRef100_UPI000C20BF54,29,23,49
A0A1I8BHU5,29,20,49
A0A0D3C0Q3,30,19,49
LakMenE01Jun11ns_1017448.scaffolds.fasta_scaffold4915143_1,29,27,49
UniRef100_UPI002235DD16,30,25,49
W4ZJQ4,29,28,49
UniRef100_A0A8J2KC82,29,20,49
ERR1719296_170195,30,25,49
UniRef100_A0A0L0DNY5,29,22,49
ERR1719427_1296114,29,22,49
UniRef100_A0A4U5PE67,29,20,49
ERR1719210_611836,29,19,49
UniRef100_A0A1I8MBY2,29,23,49
UniRef100_A0A1B1ACY2,30,24,49
UniRef100_A0A914CZH8,30,24,49
UniRef100_A0A1A8S1K0,30,22,49
UniRef100_UPI00065B8F4F,29,28,49
L8H1Q4,29,22,49
SRR5262245_25589293,29,20,49
UniRef100_A0A6I8S3G9,30,27,49
ERR1719259_1117529,30,20,49
UniRef100_A0A8B7YF54,30,25,49
UniRef100_A0A913Y2C8,29,14,49
UniRef100_A0A8J9ZAJ1,30,22,49
UniRef100_UPI002234D159,30,22,49
UniRef100_A0A2C9K9C7,29,23,49
O77050,30,24,49
A0A0R3RRF0,29,18,49
UniRef100_A0A914DG95,29,21,49
Q63132,29,25,49
ERR1719410_449097,29,25,49
R7VHS3,30,21,49
UniRef100_UPI001425787A,29,17,49
A0A196SBV3,29,18,49
UniRef100_R7UTR8,30,21,49
SRR5947209_3466181,30,28,49
GraSoiStandDraft_60_1057301.scaffolds.fasta_scaffold2208557_1,30,28,49
UniRef100_A0A2P6MX36,30,20,49
UniRef100_UPI000C20E20A,29,18,49
ERR1719259_1233745,29,25,49
UniRef100_UPI000C03E907,30,20,49
Q07153,29,23,49
UniRef100_A0A8S1GTH8,29,23,49
ERR550537_830820,29,26,49
ERR1719232_1520735,29,19,49
UniRef100_UPI001CF5D315,29,24,49
ERR1719295_354416,30,23,49
UniRef100_R1E8L0,29,20,49
V8P8P9,30,20,49
SRR5258706_11735652,29,22,49
A0A0L8GTG6,30,17,49
UniRef100_A0A0D2WUJ0,29,22,49
MGYP000199543855,29,23,49
MGYP001034108670,29,22,49
UniRef100_A0A1A8DHB3,30,27,49
MGYP000297566070,30,24,49
ERR1711988_1687149,30,19,49
UniRef100_UPI000BA82433,29,23,49
UniRef100_A0A7D9DDJ9,29,27,49
UniRef100_A0A2G9RDD4,30,21,49
UniRef100_A0A2C9KBH0,30,21,49
UniRef100_A0A3Q3EXY1,30,22,49
UniRef100_T1PQJ9,30,24,49
ERR1711964_4628,29,28,49
UniRef100_UPI000C254B4C,29,26,49
UniRef100_U3I2I6,29,19,49
UniRef100_A0A8C6LQG9,29,26,49
A0A1S3D4Q2,29,10,49
UniRef100_A0A667YN42,30,22,49
MMETSP0034_Transcript_26979_17613165|ERR538176_k119_1073226|-|98|8.709e-20|1|811|1377|1377[1377]:811[811]:567[567],29,20,49
UniRef100_UPI00077A0772,30,22,49
UniRef100_A0A8J2LNP3,29,24,49
UniRef100_A0A1I7Z786,29,23,49
UniRef100_A0A061IUF5,29,24,49
MGYP000620260982,29,24,49
GraSoiStandDraft_49_1057285.scaffolds.fasta_scaffold369074_1,30,32,49
UniRef100_A0A8B7E3A7,29,21,49
UniRef100_A0A8M3B3W9,30,21,49
UniRef100_A0A150G6Z1,30,17,49
Q5C5Y5,29,23,49
UniRef100_A0A0G4F917,29,21,49
SoimicmetaTmtLPA_FD_contig_31_7430331_length_255_multi_1_in_0_out_0_1,29,20,49
UniRef100_UPI0018CD1294,29,23,49
