PDB,plddt,seq_count,1cdl_tmscore,1cll_tmscore
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,64.75120805369127,13,0.43779,0.58595
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,61.15409395973155,13,0.39072,0.38469
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.63187919463088,13,0.43754,0.60696
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.30496644295302,13,0.48361,0.58951
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.4036912751678,13,0.66681,0.4499
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,64.51308724832215,13,0.38584,0.36277
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,67.22248322147651,13,0.45613,0.52862
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,64.36563758389262,13,0.46584,0.42534
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.78060402684565,13,0.45737,0.68603
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.31181208053691,13,0.42034,0.63848
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_011_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.13959731543623,13,0.43618,0.47931
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.33,13,0.48346,0.50795
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.9431543624161,21,0.45362,0.53756
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.51597315436243,13,0.46822,0.5123
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,63.42093959731543,13,0.50009,0.45468
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_04/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.06812080536913,13,0.57091,0.48592
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.92328859060403,13,0.51208,0.53473
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.17953020134229,13,0.38936,0.4827
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.69570469798657,13,0.69631,0.48545
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_05/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.58530201342282,13,0.43326,0.48142
