PDB,plddt,inactive_rmsd_global,active_rmsd_global,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_84_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.30508860759494,3.4551659,3.7178621,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_17_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.14002531645569,3.039505,3.4701726,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_95_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.20351898734177,3.6146634,3.2932985,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_71_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,67.58048101265823,3.8392775,3.7834053,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.99351898734177,3.474638,3.364938,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_111_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.93144303797469,3.7185948,2.9762218,26,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.77063291139241,4.303919,1.969671,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_12_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,71.61767088607594,4.370781,2.6081173,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_63_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.59835443037974,4.137672,2.5379999,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_38_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.14301265822785,4.7867026,2.2391443,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_15_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.61850632911393,3.0875664,3.8831081,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_23_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,71.5486329113924,4.211948,2.432174,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_94_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.23010126582278,3.9771757,2.9472518,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_51_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,78.0812151898734,4.3413205,2.0235536,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.23688607594937,4.728047,2.3497171,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_61_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.48832911392405,3.827311,3.242638,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_55_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.51412658227848,3.5481431,3.516741,17,1
