PDB,plddt,2qke_tmscore,5jyt_tmscore,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_22_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.15626373626374,0.5239,0.76594,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.34593406593406,0.53082,0.67975,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_21_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.52593406593407,0.49972,0.79472,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_41_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.62791208791208,0.49314,0.80707,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_31_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.96593406593408,0.48906,0.80047,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_46_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.85758241758242,0.49232,0.75172,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_17_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,56.9523076923077,0.48883,0.53581,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,84.7834065934066,0.51405,0.79603,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.18153846153845,0.50519,0.79277,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_12_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.5765934065934,0.49957,0.81589,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_38_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,82.17923076923077,0.49599,0.75624,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_15_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.74208791208791,0.48596,0.77595,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_23_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.92890109890108,0.49181,0.79073,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,79.85714285714286,0.49303,0.7615,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_33_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,86.8767032967033,0.50239,0.82111,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_27_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.91032967032967,0.49374,0.75387,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_42_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.18307692307692,0.49311,0.78509,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_10_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,86.14901098901099,0.49903,0.8023,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_37_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,86.91945054945054,0.49317,0.77828,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_29_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,83.98736263736264,0.50869,0.78016,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_18_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.3645054945055,0.50711,0.75394,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_43_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,91.1510989010989,0.48941,0.80621,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_25_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,83.33725274725275,0.52534,0.77169,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.81923076923077,0.50036,0.81219,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_34_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.59197802197802,0.49871,0.81177,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.93296703296703,0.5001,0.80974,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_47_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.65417582417584,0.49843,0.77742,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_35_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,78.8921978021978,0.49107,0.73426,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_24_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.5443956043956,0.4927,0.76707,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_40_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,63.52065934065934,0.50006,0.73265,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,83.26076923076923,0.49841,0.79451,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_30_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,61.41802197802197,0.47243,0.70815,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_26_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,81.08857142857143,0.49768,0.76308,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_39_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.01296703296704,0.50042,0.8129,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_11_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.82527472527472,0.48381,0.80265,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_49_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.00912087912087,0.53118,0.80444,12,1
